city
New York City (NYC)
Los Angeles (LA)
Chicago (CHI)
Houston (HOU)
Phoenix (PHX)
Philadelphia (PHL)
San Antonio (SA)
San Diego (SD)
Dallas (DAL)
San Jose (SJ)
Austin (AUS)
Jacksonville (JAX)
Fort Worth (FW)
Columbus (COL)
Indianapolis (IND)
Charlotte (CLT)
San Francisco (SF)
Seattle (SEA)
Denver (DEN)
Washington D.C. (DC)
Nashville (NSH)
Oklahoma City (OKC)
El Paso (ELP)
Boston (BOS)
Portland (PDX)
